Nombre,Texto
Andrea,"(Eh-ah) (Quiero alguien que se atreva) Cuatro de la mañana Y Andrea Saliendo de La Perla Mucho' la critican sin conocerla Calle como un Civic Inteligente como un Tesla Soñando con alguien que pueda comprenderla Y no quiera cambiarla, solo quererla Ey, solo quererla De la IUPI pa' la Inter De la Inter pa' Sagrado Equivocándose de amore' en lo que llega el indicado Quiere quedarse en PR, no irse pa' ningún estado Pero todo se ha complicado Como si ser mujer fuera un pecado La demonia ha despertado Ey Una guerrera, Juana de Arco Temperamental, Niurka Marco' A la buena, beso y abrazo A la mala, botellazo sin soltar el vaso Le gustaba el básquet, leer, estudiar y hacerse lazo' Pero, de esa niña, solo quedan pedazo' Se ha buscado un par de caso' Por no aguantarle chiste' a ningún payaso, ey Mírala cómo camina Lo que le falta es la tarima Cansada de esperar propina y de lo que su familia opina Pa' colmo, ahora el gobierno la llama asesina Una diva campesina Chico Quédate en tu esquina, ey Y no pida rosa' si no aguanta' espina' No quiero que nadie me diga Lo que yo tengo que hacer Se ponen a hablar Y conmigo, verán, no van a joder Que digan lo que sea Yo subo y bajo, como la marea Se tratan de montar y tambalean Quiero alguien que se atreva, que se atreva Y me entienda a mí Una loca que no quiere un loco Quiere vino tinto y sushi de Yoko Días de playita, helado de coco Se merece tanto y recibe tan poco La ma'i reza por un doctor, ingeniero Y ella con bichote' y rapero' Mi prima dice que es un cuero Y lo que nadie sabe es que a su corazón le hace falta un suero (Eh-ah) Chinga cabrón, se comenta Y aunque la ven jangueando toda la semana, no se ve contenta, no Lo malo siempre se sabe Y lo bueno nunca se cuenta Joseando pa' la renta Llorando más de la cuenta No hay mujer sin herida' Ni hombre que no mienta Ey, ella no quiere una flor Solo quiere que no la marchiten Que cuando compre pan, no le piten Que no le pregunten qué hizo ayer Y a un futuro lindo, le inviten Que le den respeto y nunca se lo quiten Que le den respeto y nunca se lo qui- Que-Que le den respeto y nunca se lo quiten No, nunca se lo quiten Porque ella es jefa, patrona Y aunque casi casi, por dentro, se desmorona Se acicala y se ve cabrona Se acicala y se ve cabrona La vida va como Verstappen en Fórmula 1 Y Buddy Baker en Daytona, ey Andrea hace tweet Que se mamen un bicho las persona' No quiero que nadie me diga Lo que yo tengo que hacer Se ponen a hablar Y conmigo, verán, no van a joder Que digan lo que sea Yo subo y bajo, como la marea Se tratan de montar y tambalean Quiero alguien que se atreva, que se atreva Y me entienda a mí A mi nene, yo lo encuentro funny, funny Sigo mi sueño y buscando ese money Que no hay money, que no hay money Que yo sigo buscando ese honey, ese honey ¡A bailar! Que digan lo que sea"
La corriente,"La melodía con la calle Tony Dize Baby, dame la señal Si me sigues mirando así Te voy a besar, te voy a besar (te voy a besar) Si es contigo, no lo tengo que pensar (no, no) Porque tú no eres como otras, no, tú eres diferente Viviendo la vida loca, siempre en contra 'e la corriente Hace' lo que a ti te dé la gana, gana Siempre pichea', meno' si el perreo llama, llama (ey, ey) Quiero que tú me enseñe', que sea' mi teacher Una bitch, una pitcher, ey Lowkey, anda a switche Loca que me la chi— Ey, ey, la baby ya va pa' treinta y se ve violenta, se ve violenta Hace rato está mirando, me di cuenta, ya me di cuenta Ella sabe má' que tú, así que no sea' tonto, chico, no le mienta' No te viva' la película, que ella es la película y de la' que no se renta Sube ese culo y to' comentan Una bad bitch, gyal de lo' 90 Esa carita agridulce es lo que me tienta Una picky, una menta Pa' mamártela y rompértela Bajo pa' tu cancha y wachartela Si tu amiga quiere, ve, invítala Ve, invítala, que se va a hacer Pero yo no quiero a otra, no, tú eres diferente Si tú fuera' una ola, puede que me lleve la corriente Tú hace' lo que a ti te dé la gana, gana Siempre pichea, meno' si el perreo llama, llama (ey) Tú eres de las que sale Tarde en la noche Pero sin dejarse ver (no, no) Se dejó y no va a volver (nah, nah) Ahora está mejor soltera Sale sin hora de llegada Nadie dice nada, hace lo que quiera La calle prendía' en candela (ey, ey) Y antes de enfangarse, prefiere a solas acostarse Parece colombiana, le dicen la parce No necesita un hombre, pa' ti hay que buscarse Ella se la vive bailando, tiene a to'a la disco mirando Porque tú no eres como otras, no, tú eres diferente Viviendo la vida loca, siempre en contra 'e la corriente Tú hace' lo que a ti te dé la gana, gana Siempre pichea', meno' si el perreo llama, llama Yeah-yeah, ey Bad Bunny, baby Be-be-be-be Ey, ey, Tony Dize, Tony Dize La melodía con la calle La melodía con la calle Bad Bunny, baby, bebé-brrum Eh, eh"
Un coco,"Antes que este phillie se apague, yo te voy a olvidar Yo te voy a olvidar Antes que este phillie se apague, yo te voy a olvidar Yo te voy a olvidar, yal Me paso fumando bajo las palmera' A ver si me cae un coco en la cabeza y me borra mi vida entera Veo parejitas dándose beso' y me da dentera Voy a tirarle el radio por mar si sale Sin Bandera porque No puedo escuchar cancione' de romance Me cansé que de pensar en ti no me canse El último pétalo me dijo que aún hay chance No sé si es verdad, pero si va' a volver, avance Por favor Aunque sea un mes ante' que salga el Sol Que en la mañana coja alergia buscando tu olor Tanto' trofeo' y aún me siento perdedor, perdedor Búscame el encendedor, ey Que si no te olvido, me voy a mudar pa' Chile Pa' Argentina o pa' El Salvador Pero denme el lighter, dije, por favor, por favor Y ante' que este phillie se apague, yo te voy a olvidar Ey, yo te voy a olvidar Ante' que este phillie se apague, yo te voy a olvidar Yo te voy a olvidar, yal Ey, ey, ey Me estoy ahogando y a la' ola' le' pedí socorro Escribo tu nombre en la arena, a ver si así lo borro Pero tus labio' y tus ojo', los tengo de gorro No sales de mi cabeza Otro phillie y otra cerveza Ya tu recuerdo me pesa Te difrazaste de Rubí, y eras Teresa Pero soy un pendejo y todavía me interesa' Ey, ey, saber de tu paradero Y preguntarte si fue verdadero O si está' volá' como avión y yo fui pasajero Qué cojones, todavía yo te quiero Eh, eh, eh Los muchacho' dicen que yo estoy charriando Eh, eh, ey Pero, en bajita, seguimos quemando Y ante' que este phillie se apague, yo te voy a olvidar Yo te voy a olvidar Ante' que este phillie se apague, yo te voy a olvidar Yo te voy a olvidar, gyal Y ante' que este phillie se apague, yo te voy a olvidar Ey, yo te voy a olvidar Y ante' que este phillie se apague, yo te voy a olvidar Ey, yo te voy a olvidar, gyal"
Amorfada,"No quiero que más nadie me hable de amor Ya me cansé To' esos trucos ya me los sé Esos dolores los pasé, yeh-yeh-yeh No quiero que más nadie me hable de amor Ya me cansé To' esos trucos ya me los sé Esos dolores los pasé Hoy te odio, no es secreto, ante todo lo confieso Si pudiera, te pidiera que devuelvas to' los besos que te di Las palabras y todo el tiempo que perdí Me arrepiento una y mil vece' de haber confiado en ti Quisiera que te sientas cómo yo me siento Quisiera ser como tú, sin sentimientos Quisiera sacarte de mis pensamientos Quisiera cambiarle el final al cuento Las barras y los tragos han sido testigo De el dolor que me causaste y to' lo que hiciste conmigo Un infeliz en el amor, que aún no te supera Que ahora camina solo, sin nadie, por todas las aceras Preguntándole a Dios si en verdad el amor existe Por qué si yo era tan bueno, toa' esta mierda tú me hiciste Lo más cabrón es que tú ves todo como un chiste Siempre voy a maldecir el día en que naciste Los chocolates que te di, y todas las flores Se convierten hoy en día en pesadillas y dolores Ya yo perdí la fe de que tú mejores Si después de la lluvia sale el arco iris pero sin colores, yeh No quiero que más nadie me hable de amor Ya me cansé To' esos trucos ya me los sé Esos dolores los pasé, yeh-yeh-yeh No quiero que más nadie me hable de amor Ya me cansé To' esos trucos ya me los sé Esos dolores los pasé, yeh-yeh-yeh"
Otra noche en Miami,"Yeh, yeh 10 en punto de la noche y salgo como de costumbre Prendas en diamantes que cieguen cuando me alumbre Me diferencio de la muchedumbre A mi estilo puede que no te acostumbre’ No sé si irme en el Mercedes o en el Maserati Modelos extranjeras que me dicen: Papi Están tirando al cel, ya me quieren ver (ah) Seguramente ya están locas por coger Pero soy yo quien les llevo la champaña Si no es con Moët, la rubia no se baña Me voy de viaje y a las dos hora’ me extraña O mejor dicho, al dinero que me acompaña Soy todo un fasa en la ciudad del Sol No voy a tiendas, pues yo soy dueño del mall Soy Cristiano después de meter un gol Tengo a francesas hablándome en español Y siempre, mucho Gucci, mucho Ferra, Louis Vuitton Yo no uso Retro, pero tengo to’a la colección Pa’l Khalifa Kush tengo la conexión Pa’l avenue Miami Beach, es mi dirección (ah) Todo es superficial Nada real Nada raro que el dinero no pueda comprar Penthouse con vista al mar Es lo único que tengo pa’ poder pasar Otra noche en Miami (yeh) Otra noche en Miami Otra noche en Miami Otra noche en Miami Otra noche sin ti Otra noche sin ti Supuestamente, ya yo te olvidé Pero son las 11:34 y de ti me acordé (yeh) No te veo, desde que me mudé Pero soñé contigo anoche y te saludé Tratando de sellar las cicatrices He estado con modelo’ y con actrices Seguramente yo nunca las quise Seguramente no sé ni por qué lo hice Y en el garage está el Bentley que tanto querías Me monto pa’ fumar imaginando que lo guías Ya me cansan los threesome’ y las orgías Ya me cansa que mi vida siga vacía Y recuerdo que me lo decías Que si no cambiaba, te perdía Cómo quisiera volver a esos días Ahora que soy rico, no tengo lo que tenía Pues mi Rolex no brilla igual que tu sonrisa Y con estas putas no me gusta compartir la frisa Si piensas volver, me avisa’ Mientras, yo sigo solo Otra noche en Miami (yeh) Otra noche en Miami Otra noche en Miami Otra noche en Miami Otra noche sin ti Otra noche sin ti Otra noche sin ti (otra noche sin ti) Otra noche sin ti (otra noche sin ti, yeh)"
Efecto,"Yeah yeah yeah yeah yeah yeah Eh eh eh eh No sé si es casualidad que yo me sienta así Siempre que tú estás cerquita de mí Dime qué me hiciste, qué droga me diste Que, desde aquella noche, no soy igual Tú me mira' y empiezo a sudar Siento que puedo volar Baby, la nota ya está haciendo efecto Mi mundo está jodío' y me siento perfecto Porque estás tú, aquí, moviéndote así, no pare' Baby, tú eres mi droga, esta noche no le baje' Porque la nota ya está haciendo efecto Mi mundo está jodío' y me siento perfecto Porque estás tú, aquí, moviéndote así, no pare' Baby, tú eres mi droga, esta noche no le baje' (Esta no, esta sí) (Esta no, esta sí) (Esta no, esta sí) (Esta no) El gatito tuyo te perdió por negligencia Y yo que no creo en la abstinencia Esta noche, en la cama, va a haber turbulencia' Qué rico tú mama', te vo'a dar la permanencia Ese totito e' la eminencia Pa' darle tengo licencia Desde que fuimo' a Florencia Se puso más bicha, pero no pierde la esencia No, no, de Carola No, no, no, no anda sola No, no, no le diga' hola O va' a ser otro pa' la cola Tu crico te me amola Yo soy fan de esa popola Más las picky, las endo, la coca y la rola Eres tú quien me controla, eh En tus ojo', veo el mar Mami, llévame en tu ola Hoy me siento bien puta, re piola, ey Porque la nota ya está haciendo efecto Mi mundo está jodío' y me siento perfecto Porque estás tú, aquí, moviéndote así, no pare' Baby, tú ere' mi droga, esta noche no le baje"
Una vez,"Lo nuestro no te conviene, eh Pero él ya no te entretiene, eh Sé que te incito a pecar, lo tratas de controlar Pero no se detiene, eh Y déjame sentirte una vez Por si no te vuelvo a ver Luego lo sigo normal con mi vida Y tú la tuya con él Pero déjame sentirte una vez (sentirte una vez) Por si no te vuelvo a ver Luego lo sigo normal con mi vida Pero dale, escápate Y si hay gente, tápate Y allá abajo, acicálate Porque hoy te va' pa' casa y casi ni traté Y si tienes problemas, conmigo pégate Que quiero ponerte a gritar mi nombre, pa' que lo recuerde' Siempre anda conmigo cuando el novio se le pierde Carita de nena buena, nunca pierde Conmigo se siente cabrón, él es solo un resuelve ¿Y qué vas a hacer si me pego Y te jalo por el pelo? Pa' mí que te va a gustar Solo déjate llevar Y déjame sentirte una vez Por si no te vuelvo a ver Luego lo sigo normal con mi vida Y tú la tuya con él Pero déjame sentirte una vez (sentirte una vez) Por si no te vuelvo a ver Luego lo sigo normal con mi vida Y tú la tuya con él Y tú la tuya con él (Tú la tuya con él) Yeh, yeh, yeh, yeh Ey Baby, yo quiero chingarte, te lo confieso Pero me conformo solo con un beso Yo no creo en el amor ni en nada de eso Pero no sé, porque ahora, siempre que rezo Le pido a Dios que me deje verte desnuda Tú te vas, pero esta bellaquera continúa Me pongo celoso cuando hablas de él (shh) Dime qué vamo' a hacer Yo solo quiero hacerlo hasta el amanecer Porque sé que pronto vas a desaparecer Si fuera por mí, te llevara de gira Creo que voy a extrañar la forma esa en que me miras Con cara de nena buena pero bellaquita Esos ojitos que los poderes me quita Quiero verte brincando, toda mojadita Y tu cara cuando yo te pase la lengüita Y te traje en whiskicito con agüita tónica Yo sé que no eres virgen, que no eres católica Lo más que me gusta es que tú eres media complicá' Quiero ver cómo tus ojos se ponen con índica Verdecito' colora'o (colora'o), ao' No sé si se nota, me tienes desespera'o Soñando contigo todas las noches, desvela'o Déjame probarte y cada cual por su la'o, eh ¿Y qué vas a hacer si me pego Y te jalo por el pelo? Yo sé que te va a mojar Solo déjate llevar Y déjame sentirte una vez (sentirte una vez) Por si no te vuelvo a ver Luego lo sigo normal con mi vida Y tú la tuya con él (Y tú la tuya con él) (Tú la tuya con él) (Tú la tuya con él) (Tú la tuya con él)"
Neverita,"Yo 'toy puesto pa' ti y tú te me quita' Diablo, qué piquete la chamaquita El corazón lo puso en la neverita Dice que este verano se queda solita Yo 'toy puesto pa' ti y tú te me quita' Diablo, qué piquete la chamaquita El corazón lo puso en la neverita Dice que este verano se queda solita Pero nunca sola, sola Amores vienen y van, como las ola' El DM explotao', to's le escriben hola Una fila 'e cabrone' y yo quiero la cola Yeah, yeah, yeah Déjame untarte el sunblock pa' que no te queme' Aquí hay mucha' nenas linda', pero tú la tiene' Jugar conmigo, eso te entretiene No sea' mala, me tienes de meme Me siento como el sol, ey Cuando te pones sunblock Baby, déjame entrar, dale, quítame el lock, ey Yo me la pasaría contigo viendo TikTok Déjame sorprenderte, ey Déjame untarte el sunblock pa' que no te queme' Aquí hay mucha' nenas linda', pero tú la tiene' Jugar conmigo, eso te entretiene No sea' mala, me tienes de meme Yo 'toy puesto pa' ti y tú te me quita' Diablo, qué piquete la chamaquita El corazón lo puso en la neverita Dice que este verano se queda solita Pero nunca sola, sola Amores vienen y van, como las ola' Tú, lo que ere', e' una abusadora Vo'a buscarte una cerveza, y bebe' el cora"
La santa,"Tú no ere' una santa, ni yo soy un santo Nos conocimo' pecando, ahora me está' buscando Porque quiere más de mí (Bad), y yo te lo doy (Bunny) Te viene' y me voy (DY) Te lo dije que esto era pa' jugar Que no te podía' enamorar (¡sube, sube!) Que ahora me quiere' cambiar Sabiendo cómo soy, tú sabe' lo que doy No te haga', que tú ere' igual (¿qué, qué, qué?) No te haga' la santa, el perreo te encanta (you know) Y ahora me quiere' cambiar (yeh, eh) Sabiendo cómo soy, tú sabe' lo que doy No te haga', que tú ere' igual (tú ere' igual, bebé) No te haga' la santa, el perreo te encanta (Daddy) Mami, somo' polo positivo y negativo (¿qué?) A la flecha de Cupido siempre me le esquivo Tenemo' secreto' guarda'o en el archivo No va a haber confianza si contigo convivo Baby, 'tás calentándote, yo calentándome Y tú dice' que tú ere' brava, pero a vece' te me quita Y vuelve' y me excita' Pero yo no soy el hombre que necesita' Yo no voy con labia, no Tú sabía' la que había, baby El romance no es mi área, no No me diga' que te enamoraste de mí Yo no voy con labia, no Tú sabía' (tú sabía') la que había, baby El romance no es mi área, no No me diga' (no me diga') que te enamoraste de mí (mí) Y ahora me quiere' cambiar (sube) Sabiendo cómo soy, tú sabe' lo que doy No te haga', que tú ere' igual (tú ere' igual, bebé) No te haga' la santa, el perreo te encanta Y ahora me quiere' cambiar (me quiere' cambiar) Sabiendo cómo soy, tú sabe' lo que doy No te haga', que tú ere' igual No te haga' la santa, el perreo te encanta (Bad Bunny, c'mon) No me diga' que me quiere' No me diga' que me ama' Tú sabe' que no te creo Mucho meno' en tu cama Seguimo' envuelto' en la bellaquera Ey, ey, la noche entera Eso de enamorarse no es pa' cualquiera Tengo el corazón dentro de la nevera Lo tengo frío, frío, sorry, pero en nadie confío Tú sigue en lo tuyo y yo en lo mío Buena' noche', fue un placer, ey Pero no me va' a convencer (c'mon) Yo no voy con labia, no Tú sabía' la que había, baby El romance no es mi área, no No me diga' que te enamoraste de mí Yo no voy con labia, no Tú sabía' (tú sabía') la que había, baby El romance no es mi área, no No me diga' (no me diga') que te enamoraste de mí (mí) Y ahora me quieres cambiar Sabiendo cómo soy, tú sabe' lo que doy No te haga', que tú ere' igual (tú ere' igual) No te haga' la santa, el perreo te encanta Y ahora me quiere' cambiar Sabiendo cómo soy, tú sabe' lo que doy (yo') No te haga', que tú ere' igual No te haga' la santa, el perreo te encanta, eh Mucho party, mucho money Daddy Yankee, Bad Bunny Mucho party, mucho money Daddy Yankee, Bad Bunny"
Pa ti,"Te dijeron que soy un infiel (¡yeah!) Que no debes de confiar en mí (¡mí!) Dime si tú les vas a creer (¡eh!) Sabiendo que yo estoy puesto pa' ti, pa' ti Les picheo' a to' estas putas por ti Porque estoy puesto pa' ti, pa' ti Yo soy tuyo desde que te lo metí, yeah Yo te quiero pa' mi futuro Mira, baby, el amor de nosotros es puro Yo te hago sentir mujer cada vez que te torturo Te gusta que te lo meta bien duro Tú eras la luz que yo veía al final de lo oscuro (Mira, baby) estoy puesto pa' ti, baby, yo te lo juro (¡ah!) Yo no soy un hombre perfecto Yo no sé na' de esto, de amor, ni de polos opuestos Pero desde que estoy contigo yo me olvidé del resto Hoy voy pa' tu apartamento, los philly en el puesto El pasto y las percos, por ti yo las dejo Contigo voy a hacer lo correcto Quiero cambiarte la vida Baby, déjame sanar tus heridas Yo te doy to' los chavos que tú quieres Y te compro to' lo que tú me pidas Yo sé que antes tú tenías el corazón roto y el alma partida Confía en mí, yo quiero tenerte conmigo toa' la eternidad Porque sabes que estoy pa' ti, pa' ti Les picheo a to' estas putas por ti Porque estoy puesto pa' ti, pa' ti Yo soy tuyo desde que te lo metí (¡eh!) Baby, obvio no eres la primera Pero eres la verdadera Con la que mezclo amor y bellaquera Con la que gasto lo que se genera Yo no me pongo pa' cualquiera Pero tú eres genial y sincera Prende las velas y pon la bañera Qué hoy las Rosé nos las bebemos enteras Ellas se imaginan lo que ya tú has visto Envidiosas porque te desvisto Me escriben y las dejo en visto Por ti tentaciones resisto Dile a tu ex que no se pase de listo O le mando un pasaje pa' allá arriba con Jesucristo Y por él te juro que soy fiel Mi pasado ya es cosa de ayer No to' el tiempo va a ser luna de miel Pero to lo que te compro es Gucci o Chanel Por ti dejo to, menos el pacto Borré toa's las putas de mis contactos Baby, tú eres una diabla Y mi bicho contigo hizo un pacto, yeah Baby sabes que estoy pa' ti, pa ti Les picheo a to' estas putas por ti Porque estoy puesto pa' ti, pa' ti Yo soy tuyo desde que te lo metí Bad Bunny baby Bryant Myers Yeh, Alex Killer Kronix Magical Hear This Music DJ Luian Mambo Kingz Bryant Myers La Oscuridad Mira dímelo, Luian Bad Bunny Mambo Kingz La Comisión"
Un peso,"¿Pa' qué me vas a amar? Si ya te dije adiós Si ya me despedí de ti No quiero saber más de tus besos ¿Pa' qué me vas a amar? Ya te di tu perdón El rencor nunca ha estado en mí Ahora lo que hagas me vale un peso ¿Pa' qué me vas a amar? Pa' qué Si estamos en otras etapas y ya te olvidé Si por ti me jodí, caí y me levanté Con el que te venías ya se fue Me han llegado par de razones Que hayas roto corazones Tratando de llenar vacíos Que ni llenas con galones Si esta es pa' que borracha la entones De ti solo extraño hacerlo sin condones Y con razón tan poquito te dolió De cora' que no fui yo el que la nave despegó Y tu corazón idiota, siempre me extrañará, baby ¿Pa' qué me vas a amar? Si ya te dije adiós Si ya me despedí de ti No quiero saber más de tus besos ¿Pa' qué me vas a amar? Ya te di tu perdón El rencor nunca ha estado en mí Ahora lo que hagas me vale un peso Yo te amaba, yo te quería Pero ya se acabaron esos días Ahora lloras, arrepentida Pensando en mí mientras el café se te enfría Estoy seguro que extrañas mi lunar Y no tener a nadie pa' desayunar Lo siento, mi amor, solo me di mi lugar Busca otro corazón con el que jugar A ti fui religioso, yo te adoré La luna sabe lo que por ti lloré Cuando estaba triste Y tú nunca viniste Pero normal, normal Tranquila, que de ti yo no voy a hablar mal Te puedo perdonar, pero nunca olvidar No me hables bonito, vuelvo y repito ¿Pa' qué me vas a amar? Si ya te dije adiós Si ya me despedí de ti No quiero saber más de tus besos ¿Pa' qué me vas a amar? Ya te di tu perdón El rencor nunca ha estado en mí Ahora lo que hagas me vale un peso No te podrás hacer La cirugía estética del alma Para cambiar algo que no te falla Tu piedra angular, tu piedra angular ¡Qué me vas a amar! Yo existía si me imaginabas Y daba un brinco si decías rana Pero me cansó ser tu pendejo Porque perdiste sensibilidad Te fuiste sola sin mirar atrás Aprendiste a diferenciar Lo que parece y lo que es Lo que está escrito en las estrellas A lo que está escrito en un papel Otros amores también hay Como la novia de Forrest Gump Dice el reloj en la pared Si nuestro amor terminó ayer ¿Qué me vas a amar? ¿Qué me vas a amar? ¿Qué me vas a amar? Si ya te dije adiós Si ya me despedí de ti No quiero saber más de tus besos ¿Pa' qué me vas a amar? Ya te di tu perdón El rencor nunca ha estado en mí Ahora lo que hagas me vale un peso"
Un ratito,"Yeh, yeh, yeh, yeh Yeh, yeh, yeh, yeh, yeh Ey Quizás yo vuelva con mi ex Y no te vuelva a ver Quizás no te importa Quizás te va a doler Esto es un ratito, uoh Mami, no te acostumbres Que el amor es muy bonito Pero siempre hay algo que lo interrumpe Esto es un ratito, uoh Mami, no te acostumbres Que el amor es muy bonito Pero siempre hay algo que lo interrumpe Pa' mí que yo nací pa' estar solo No hay una loca pa' este loco El tiempo se va y queda poco Baby, vamo' a hacerlo otra ve', chingar otra ve' Porque mañana quizá no vo' a estar La luz se puso roja, hay que parar O si quieres, nos bajamos y podemos perrear Baby, esto no fue normal Con cualquiera, no me acuesto A cualquiera no le meto Ni le cuento mis secretos Me pongo feliz cuando llegan tus texto' Porque Con cualquiera, no me acuesto A cualquiera no le meto Ni le cuento mis secretos Me pongo feliz cuando llegan tus texto' O cuando en cuatro te lo meto Ey, y te mojas toa' Contigo me voy a toa' Ey, espero que la hayas pasado bien Y en verdad tú eres bien, pero Mi vida es complicada, tú no va' a entender Un poco inestable, como puede' ver Mami, fue rico conocerte Pero no sé si vuelvo a verte Esto es un ratito, uoh Mami, no te acostumbres Que el amor es muy bonito Pero siempre hay algo que lo interrumpe Pa' mí que yo nací pa' estar solo (Pa' mí que yo nací pa' estar solo)"
Ignorantes,"E, este es Sech Bad Bunny, baby Quizá' fui muy ignorante Hay cosas que no sabemos Quizá' no puse de mi parte (no) Pero tú pusiste menos La soledad no me asusta Pero dormir solo no me gusta Y no sé por qué nos dejamo' Si tú me amas y yo te amo Normal, yo sé que a vece' peleamo' Pero qué rico cuando chingamo' Y no sé por qué nos dejamo' Si tú me amas y yo te amo Normal, yo sé que a vece' peleamo' Pero qué rico cuando chingamo' Eh, eh, eh (ice) Mami, si quieres, nos quedamo' como panas Entre tus mala' decisione', yo no fui una mala Vuelve, si a la felicidad le tienes gana' Que ellos son el caballo negro y yo soy la cana Es que tú no cambia' Te quité el panty pa' poner mi suéter Champion Siempre que estás borracha, tú me llamas Y pasas las notas en mi cama No, baby No debí acostarme contigo Pero no (no) Si te atraparon, moléstate Pero no No digas que no te gustó No digas que no te gustó No digas que no te gustó Y no sé por qué nos dejamo' Si tú me amas y yo te amo Normal, yo sé que a vece' peleamo' Pero qué rico cuando chingamo' (yeh, yeh, yeh) Baby, te extraño to' los día', ey Nunca supe que te perdía Yo lo enrolaba, tú lo prendia' Y el otro despué' que te venia' Ahora en la cama se me hace gigante Nadie me da besito', pa' que me levante Espero que el perrito, los jevo' te espante Eh, eh, eh No sé si fue la distancia O tal vez culpa de mi ignorancia (eh) No sé si fue por mi inmadurez Que mi nena no quiere volver (eh) Quizá' necesitaba espacio, eh O ir más despacio', eh Hoy prendí pa' fumar Me puse a recordar y pensar Y no sé por qué nos dejamo' Si tú me amas y yo te amo Normal, yo sé que a vece' peleamo' Pero qué rico cuando chingamo' Y no sé por qué nos dejamo' Si tú me amas y yo te amo Normal, yo sé que a vece' peleamo' Pero qué rico cuando chingamo'"
Me fui de vacaciones,"Ey, ey El Sol salió a janguear con las nube' Y me regalaron un día cabrón Como cuando me quedaba en Boquerón O en Manatí Lo mejor nunca se sube A menos que en la radio salga esta canción Hoy, voy a darle paz a mi corazón Por eso me perdí Me fui de vacacione' Con muchas cerveza' y cancione' Un shot por las buenas amistade' Y por las bendicione' Y si el día se pone feo Tú me lo haces bonito Ya no pido más deseo' Tengo todo lo que necesito Ey, ey Y sorry por la gente que quiere saberlo to' Si pongo el location, ya no es un secret spot Hoy, voy a pasarla bien y no pensar en na' Y no pensar en na', y no pensar en na' Porque, a vece', pienso tanto Que me olvido de dar gracias cuando me levanto A veces, pienso tanto que me olvido de pensar en mí Que me olvido hasta de dormir, ey Así que no se asusten si desaparezco Un rato bien lejos, yo me lo merezco No me hablen del trabajo, no me hablen de escuela Que ya subí el ancla y abrí las vela' Puedo ver el paraíso llegando a Isabela Un mangó de Mayagüe', despué' pa' La Palguera Puerto Rico se ve lindo hasta en Google Maps Yo le quiero dar la vuelta con sensei, con Gabs Lo que traigo es vibra linda, no quiero frontear Pa' la' babie', yo después saco un disco de trap No me busque', que no me va' a encontrar No me va' a encontrar, no, no Me fui de vacacione' Con muchas cerveza' y cancione' Un shot por las buenas amistade' Y por las bendicione' Y si el día se pone feo Tú me lo haces bonito Ya no pido más deseo' Tengo todo lo que necesito Ey, ya no pido más deseo' Tengo todo lo que necesito"
2016,"(Bad Bunny, baby) Eh-eh, eh-eh-eh La vida es solo un momento Y el dinero no compra el tiempo Yo me acuerdo de tu talento Te estoy buscando y no te encuentro Dime qué tengo que hacer A dónde le tengo que caer Pa' pasar tres día' y dos noche' en el 2016 Ey, yo quiero darte por ley Dime qué tengo que hacer, ey A dónde le tengo que caer Pa' pasar tres día' y dos noche' en el 2016 Ey, yo quiero darte por ley Quisiera darle replay, escuchando Views de Drake El lean y el vape, la gorra Obey Una noche en el Mariott, otra noche en el Okay O en el parking de BK, ey Baby, extraño los polvo' al frente 'el parque Que me muerda', que me arañe', que me enmarque' Se acabaron los condone' en el minimarket Me fui acapella, uy, que Dios nos guarde De madrugada en tu cuarto, rulay Que no me pille tu pa'i Me voy a esconder en el clóset En lo que se va tu ma'i Baby, tú ere' un OG crush Desde que estaba en la high Ahora no sé na' de ti Desde que dijiste bye (bye) Lo mejor que hiciste Tú ni sabes lo peor (lo peor), ey, ey, ey La Isuzu ahora es Lamborghini Dime si quiere' una ride Dime qué tengo que hacer A dónde le tengo que caer Pa' pasar tres día' y dos noche' en el 2016 Ey, yo quiero darte por ley Dime qué tengo que hacer A dónde le tengo que caer Pa' pasar tres día' y dos noche' en el 2016 Ey, antes de que yo fuera un rey Ey, llama cuando él se vaya Si te ve conmigo, por ley, se desmaya Qué rico me lo mama, nunca me lo guaya Hoy tengo party en Dizu Mañana en Aljibe y me quedo por el Maya, ey Te voy a dar con euforia, tú ere' mi Zendaya Y yo me voy a dar un shot por ti Espero que estés bien Yo he estao' con mile' y tú sigue' en el top ten No me lo niegue', baby, que yo también, eh, eh Y yo me voy a dar un shot por ti Espero que estés bien Yo he estao' con mile' y tú sigue' en el top ten No me lo niegue', yo sé que yo también, ey Dime qué tengo que hacer A dónde le tengo que caer Pa' pasar tres día' y dos noche' en el 2016"
